,url,address,title,area,bedrooms,bathrooms,garages,price,date
0,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-113m2-venda-RS679000-id-2501974001/,"Rua Felipe Domingos Petry, 600 - Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 113m²",113,3,3,2,679000,2021-04-28 
2,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-70m2-venda-RS270000-id-2517210990/,"Rua Koesa, 505 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,1,1,270000,2021-04-28 
3,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-103m2-venda-RS700000-id-2504763630/,"Rua Antônio Basil Schroeder, 92 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 103m²",103,3,2,2,700000,2021-04-28 
4,vivareal.com/imovel/apartamento-2-quartos-real-parque-bairros-sao-jose-com-garagem-53m2-venda-RS152000-id-2496753819/,"Rua João José Martins, 1668 - Real Parque, São José - SC","Apartamento com 2 Quartos à Venda, 53m²",53,2,1,1,152000,2021-04-28 
5,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-113m2-venda-RS560000-id-2507306466/,"Rua Felipe Domingos Petry, 600 - Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 113m²",113,3,3,2,560000,2021-04-28 
6,vivareal.com/imovel/apartamento-4-quartos-kobrasol-bairros-sao-jose-137m2-venda-RS595000-id-2512364664/,"Rua Jaime Arruda Ramos, 26 - Kobrasol, São José - SC","Apartamento com 4 Quartos à Venda, 137m²",137,4,4,--,595000,2021-04-28 
7,vivareal.com/imovel/apartamento-2-quartos-ipiranga-bairros-sao-jose-com-garagem-72m2-venda-RS440000-id-2504672974/,"Rua João Ambrósio da Silva, 575 - Ipiranga, São José - SC","Apartamento com 2 Quartos à Venda, 72m²",72,2,2,1,440000,2021-04-28 
9,vivareal.com/imovel/apartamento-3-quartos-nossa-senhora-do-rosario-bairros-sao-jose-com-garagem-90m2-venda-RS650000-id-2493738573/,"Rua Dorval da Silva, 25 - Nossa Senhora do Rosário, São José - SC","Apartamento com 3 Quartos à Venda, 90m²",90,3,2,1,650000,2021-04-28 
10,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-93m2-venda-RS650000-id-2473438873/,"Rua Eugênio Portela, 707 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 93m²",93,3,3,2,650000,2021-04-28 
11,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS459000-id-2517607381/,"Avenida Brigadeiro da Silva Paes, 380 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,3,1,459000,2021-04-28 
12,vivareal.com/imovel/apartamento-2-quartos-ponta-de-baixo-bairros-sao-jose-com-garagem-48m2-venda-RS185000-id-2506825077/,"Rua Frederico Afonso, 5780 - Ponta de Baixo, São José - SC","Apartamento com 2 Quartos à Venda, 48m²",48,2,1,1,185000,2021-04-28 
13,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-92m2-venda-RS330000-id-2513803389/,"Rua Zigomar Georgina de Souza Silva, 380 - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 92m²",92,3,2,1,330000,2021-04-28 
14,vivareal.com/imovel/apartamento-3-quartos-serraria-bairros-sao-jose-com-garagem-112m2-venda-RS680000-id-2513875910/,"Rodovia BR-101, 4161 - Serraria, São José - SC","Apartamento com 3 Quartos à Venda, 112m²",112,3,3,2,680000,2021-04-28 
16,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-83m2-venda-RS420000-id-2511034708/,"Rua Pedro Bunn, 1565 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 83m²",83,3,2,1,420000,2021-04-28 
17,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-150m2-venda-RS750000-id-2507829974/,"Rua Elizeu Di Bernardi, 200 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 150m²",150,3,4,2,750000,2021-04-28 
18,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-101m2-venda-RS450000-id-2427786081/,"Rua Quinze de Novembro - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 101m²",101,3,3,1,450000,2021-04-28 
19,vivareal.com/imovel/apartamento-2-quartos-picadas-do-sul-bairros-sao-jose-com-garagem-67m2-venda-RS301000-id-2514819080/,"Rua Coletor Irineu Comelli, 140 - Picadas do Sul, São José - SC","Apartamento com 2 Quartos à Venda, 67m²",67,2,2,1,301000,2021-04-28 
20,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-74m2-venda-RS400000-id-2512247309/,"Rua Virgilino Ferreira de Souza, 206 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 74m²",74,2,2,1,400000,2021-04-28 
21,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-101m2-venda-RS529000-id-2427784874/,"Rua Mar Del Plata - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 101m²",101,3,1,1,529000,2021-04-28 
22,vivareal.com/imovel/apartamento-2-quartos-forquilhas-bairros-sao-jose-com-garagem-66m2-venda-RS240000-id-2514012774/,"Rua Domingos Barbosa, 549 - Forquilhas, São José - SC","Apartamento com 2 Quartos à Venda, 66m²",66,2,2,1,240000,2021-04-28 
23,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-83m2-venda-RS310000-id-2427755168/,"Avenida Governador Jorge Lacerda - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 83m²",83,3,1,1,310000,2021-04-28 
24,vivareal.com/imovel/apartamento-2-quartos-real-parque-bairros-sao-jose-com-garagem-76m2-venda-RS190000-id-2427720437/,"Real Parque, São José - SC","Apartamento com 2 Quartos à Venda, 76m²",76,2,2,1,190000,2021-04-28 
25,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-70m2-venda-RS300000-id-2427737644/,"Rua Manoel Loureiro - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,2,1,300000,2021-04-28 
26,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-110m2-venda-RS480000-id-2517267674/,"Rua Francisco Jacinto de Melo - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 110m²",110,3,3,1,480000,2021-04-28 
27,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-87m2-venda-RS460000-id-2515900564/,"Rua Elizeu Di Bernardi, 604 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 87m²",87,3,2,1,460000,2021-04-28 
28,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-60m2-venda-RS238000-id-2484199081/,"Rua Maria Justina Cunha, 1403 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 60m²",60,2,1,1,238000,2021-04-28 
29,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-58m2-venda-RS200000-id-2516426212/,"Rua Adão Manoel da Silva, 197 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 58m²",58,2,1,1,200000,2021-04-28 
30,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-103m2-venda-RS300000-id-2511466996/,"Avenida Governador Jorge Lacerda - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 103m²",103,3,2,1,300000,2021-04-28 
31,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS500000-id-2498586416/,"Rua João Saturnino Ouriques, 600 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 94m²",94,3,2,1,500000,2021-04-28 
32,vivareal.com/imovel/apartamento-2-quartos-bela-vista-bairros-sao-jose-com-garagem-77m2-venda-RS319000-id-2510791233/,"Avenida Osvaldo José do Amaral - Bela Vista, São José - SC","Apartamento com 2 Quartos à Venda, 77m²",77,2,2,1,319000,2021-04-28 
33,vivareal.com/imovel/apartamento-1-quartos-barreiros-bairros-sao-jose-com-garagem-80m2-venda-RS250000-id-2514842607/,"Rua Antônio Basil Schroeder, 135 - Barreiros, São José - SC","Apartamento com  Quarto à Venda, 80m²",80,1,1,1,250000,2021-04-28 
34,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS659000-id-2517629987/,"Avenida Cruz e Souza, 0 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 94m²",94,2,3,2,659000,2021-04-28 
35,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-66m2-venda-RS238000-id-2491082305/,"Rua Maria Justina Cunha, 1406 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 66m²",66,2,2,1,238000,2021-04-28 
36,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS659000-id-2517629987/,"Avenida Cruz e Souza, 0 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 94m²
",94,2,3,2,659000,2021-04-28 
38,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-66m2-venda-RS238000-id-2491082305/,"Rua Maria Justina Cunha, 1406 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 66m²
",66,2,2,1,238000,2021-04-28 
39,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-110m2-venda-RS320000-id-2513019751/,"Rua Victor Meirelles - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 110m²
",110,3,2,--,320000,2021-04-28 
40,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-118m2-venda-RS700000-id-2516431075/,"Rua Antônio Scherer - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 118m²
",118,3,2,2,700000,2021-04-28 
41,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-93m2-venda-RS285000-id-2516769825/,"Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 93m²
",93,2,2,1,285000,2021-04-28 
42,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-61m2-venda-RS250000-id-2437379664/,"Rua Moura, 150 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 61m²
",61,2,2,1,250000,2021-04-28 
43,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-78m2-venda-RS285000-id-2517772843/,"Rua Fagundes Varela, 1187 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,1,1,285000,2021-04-28 
45,vivareal.com/imovel/apartamento-2-quartos-floresta-bairros-sao-jose-com-garagem-60m2-venda-RS185000-id-2516034452/,"Rua Maria Filomena da Silva, 328 - Floresta, São José - SC","Apartamento com 2 Quartos à Venda, 60m²
",60,2,1,1,185000,2021-04-28 
46,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-52m2-venda-RS209000-id-2517060479/,"Rua Fagundes Varela, 307 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 52m²
",52,2,1,1,209000,2021-04-28 
47,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-48m2-venda-RS146000-id-2500916688/,"Areias, São José - SC","Apartamento com 2 Quartos à Venda, 48m²
",48,2,1,1,146000,2021-04-28 
48,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS359000-id-2517782999/,"Avenida Brigadeiro da Silva Paes, 650 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 70m²
",70,2,1,1,359000,2021-04-28 
49,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-110m2-venda-RS650000-id-2507631822/,"Avenida Brigadeiro da Silva Paes, 85 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 110m²
",110,3,2,2,650000,2021-04-28 
50,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-61m2-venda-RS300000-id-2513017741/,"Rua Moura, 200 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 61m²
",61,2,2,1,300000,2021-04-28 
52,vivareal.com/imovel/apartamento-4-quartos-campinas-bairros-sao-jose-com-garagem-151m2-venda-RS720000-id-2515671710/,"Rua Altamiro Di Bernardi, 660 - Campinas, São José - SC","Apartamento com 4 Quartos à Venda, 151m²
",151,4,2,3,720000,2021-04-28 
53,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-91m2-venda-RS640000-id-2517625741/,"Avenida Brigadeiro da Silva Paes, 767 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 91m²
",91,3,2,2,640000,2021-04-28 
54,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS500000-id-2492822507/,"Rua João Saturnino Ouriques - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,500000,2021-04-28 
55,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-130m2-venda-RS700000-id-2487630579/,"Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 130m²
",130,3,1,2,700000,2021-04-28 
56,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-118m2-venda-RS740000-id-2514953128/,"Rua Antônio Scherer, 764 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 118m²
",118,3,3,2,740000,2021-04-28 
57,vivareal.com/imovel/apartamento-2-quartos-serraria-bairros-sao-jose-com-garagem-47m2-venda-RS130000-id-2517102690/,"Rua José Zimermann, 111 - Serraria, São José - SC","Apartamento com 2 Quartos à Venda, 47m²
",47,2,1,1,130000,2021-04-28 
59,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-130m2-venda-RS1199000-id-2514806674/,"Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 130m²
",130,3,2,2,1199000,2021-04-28 
60,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-67m2-venda-RS210000-id-2513134994/,"Rua Frei Hilário - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 67m²
",67,3,1,--,210000,2021-04-28 
