,url,address,title,area,bedrooms,bathrooms,garages,price,date
0,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-70m2-venda-RS285000-id-2517210990/,"Rua Koesa, 505 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,1,1,285000,2021-04-28 
2,vivareal.com/imovel/apartamento-2-quartos-real-parque-bairros-sao-jose-com-garagem-53m2-venda-RS152000-id-2496753819/,"Rua João José Martins, 1668 - Real Parque, São José - SC","Apartamento com 2 Quartos à Venda, 53m²",53,2,1,1,152000,2021-04-28 
3,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-150m2-venda-RS750000-id-2507829974/,"Rua Elizeu Di Bernardi, 200 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 150m²",150,3,4,2,750000,2021-04-28 
4,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-74m2-venda-RS400000-id-2512247309/,"Rua Virgilino Ferreira de Souza, 206 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 74m²",74,2,2,1,400000,2021-04-28 
5,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-92m2-venda-RS330000-id-2513803389/,"Rua Zigomar Georgina de Souza Silva, 380 - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 92m²",92,3,2,1,330000,2021-04-28 
6,vivareal.com/imovel/apartamento-3-quartos-nossa-senhora-do-rosario-bairros-sao-jose-com-garagem-90m2-venda-RS650000-id-2493738573/,"Rua Dorval da Silva, 25 - Nossa Senhora do Rosário, São José - SC","Apartamento com 3 Quartos à Venda, 90m²",90,3,2,1,650000,2021-04-28 
7,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-83m2-venda-RS420000-id-2511034708/,"Rua Pedro Bunn, 1565 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 83m²",83,3,2,1,420000,2021-04-28 
9,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-113m2-venda-RS679000-id-2501974001/,"Rua Felipe Domingos Petry, 600 - Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 113m²",113,3,3,2,679000,2021-04-28 
10,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-103m2-venda-RS700000-id-2504763630/,"Rua Antônio Basil Schroeder, 92 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 103m²",103,3,2,2,700000,2021-04-28 
11,vivareal.com/imovel/apartamento-4-quartos-kobrasol-bairros-sao-jose-137m2-venda-RS595000-id-2512364664/,"Rua Jaime Arruda Ramos, 26 - Kobrasol, São José - SC","Apartamento com 4 Quartos à Venda, 137m²",137,4,4,--,595000,2021-04-28 
12,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS459000-id-2517607381/,"Avenida Brigadeiro da Silva Paes, 380 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,3,1,459000,2021-04-28 
13,vivareal.com/imovel/apartamento-2-quartos-ipiranga-bairros-sao-jose-com-garagem-72m2-venda-RS440000-id-2504672974/,"Rua João Ambrósio da Silva, 575 - Ipiranga, São José - SC","Apartamento com 2 Quartos à Venda, 72m²",72,2,2,1,440000,2021-04-28 
